ID,Seq,RAdeg,DEdeg,Per,R21,phi21,T0,gmag,rmag,Per-g,Per-r,Ng,Nr,R21-g,R21-r,phi21-g,phi21-r,R2-g,R2-r,gAmp,rAmp,log(FAP-g),log(FAP-r),Type,Dmin-g,Dmin-r,random_index,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_bp_mean_flux_error,teff_gspphot,logg_gspphot,mh_gspphot,ag_gspphot,ruwe,astrometric_excess_noise,astrometric_sigma5d_max,fidelity_v2,rv_renormalised_gof,rv_chisq_pvalue,rv_expected_sig_to_noise,rv_nb_transits,Separation
ZTFJ192138.82+695603.1,418488,290.41179,69.93421,1.2263473,0.622,6.274,58290.3280562,13.482,13.057,1.2262703,1.2263473,187,180,0.668,0.622,6.331,6.274,0.947,0.962,1.185,0.869,-11.261,-17.497,EA,0.897,0.619,784960939,2261785926184018944,290.41182941285666,0.010930619,69.93417375974228,0.011788288,1.0164277230413046,0.012101051,-5.539764869202292,0.013266208,-1.4683644091533072,0.015327157,19.678211,7.1699095,13.044727,114039.59674745133,667.89667,13.356225,62076.43942964212,1367.9056,12.532185,76963.45194368543,880.6252,6109.5312,3.8199,-0.4317,0.3807,0.96724725,0.06466376,0.021609051,1.0,,,13.41699,13,0.1392513707981443
ZTFJ192141.36-061937.1,418629,290.42235,-6.327,111.1714565,0.453,6.344,58289.8738751,16.403,15.117,112.9580004,111.1714565,78,446,0.607,0.453,6.718,6.344,0.72,0.868,0.242,0.161,-7.412,-14.708,EA,0.032,0.012,200017493,4211014777165397760,290.4223589599995,0.024686841,-6.3270191003889105,0.021451635,0.14955851079733334,0.02822918,-2.8523128859250058,0.030832727,-5.495644646334672,0.024724597,82.207405,7.69908,15.122222,16828.989252588675,26.277405,15.974386,5567.5275462297695,62.07708,14.203086,16516.721988526348,45.212173,,,,,0.9313491,0.0,0.04461114,0.9921875,,,4.1189713,16,0.07586793559344035
ZTFJ192146.65+262344.3,418930,290.44441,26.39566,2.8344722,0.655,6.394,58354.3851925,15.18,14.273,2.8345792,2.8344722,169,185,0.465,0.655,6.243,6.394,0.462,0.583,0.133,0.125,-9.402,-9.107,EA,0.06,0.058,1584174612,2024080308388688768,290.44442188313127,0.010739753,26.39562726755545,0.013395822,0.7761177015125766,0.017128626,-3.960456464504869,0.014584111,0.24323363029031325,0.01767194,8.551347,5.4043036,14.361681,33905.83625671337,65.433495,14.978089,13937.383806765114,159.84062,13.6005,28771.21826301138,86.441315,5975.4062,3.7094,-0.2196,1.1639,0.9802131,0.046098042,0.024809398,1.0,,,8.474522,24,0.12391078894661121
ZTFJ192155.05+433006.5,419396,290.47941,43.50182,0.6189324,0.507,6.452,58298.4007166,14.117,13.793,0.6189324,0.6189384,80,328,0.452,0.507,6.299,6.452,0.843,0.884,0.126,0.118,-6.972,-7.207,EA,0.012,0.0,324587255,2126075886031809408,290.47941345583956,0.010025896,43.501791822415804,0.01231204,0.6618351134245187,0.012131271,0.8291449914742761,0.013156704,-2.6545133233345704,0.015313771,-57.650024,5.908102,13.810316,56340.46938424824,101.81998,14.095671,31415.833727338704,216.01611,13.362029,35838.220495693604,159.9371,6177.778,3.8303,-0.5839,0.1196,1.0746096,0.048715822,0.021660041,1.0,,,6.536429,23,0.10183990928096466
ZTFJ192206.35+244219.1,420079,290.5265,24.70533,5.6644906,0.449,6.365,58282.3527596,15.028,13.841,5.6651332,5.6644906,175,176,0.469,0.449,6.312,6.365,0.751,0.809,0.237,0.218,-17.501,-18.212,EA,0.043,0.044,1729617990,2023021341254816384,290.52651147232035,0.0073257773,24.70530118515955,0.011596857,0.4747197920277282,0.014261368,-0.7614362570989195,0.009307497,2.050482519661386,0.014210442,-27.088974,3.6068904,13.87625,53020.84637911128,130.80476,14.664771,18599.808267657496,367.8755,13.009344,49593.01626644364,146.62912,,,,,1.0005486,0.0,0.020301146,1.0,,,14.220855,32,0.11031038961630141
ZTFJ192231.87+680836.0,421632,290.63283,68.14336,0.3714122,0.514,6.692,58266.4542551,15.09,13.986,0.3714122,0.456127,107,105,0.514,0.429,6.692,6.319,0.793,0.741,0.388,0.369,-9.955,-5.062,EA,0.21,0.218,1255925385,2261234555461536384,290.6327577731109,0.02514135,68.14333418251083,0.026666751,4.154501800160113,0.024991862,10.929593633944927,0.031677857,-6.416369508846392,0.032831427,-36.62066,10.726539,13.988453,47815.16839404435,107.65216,14.7175,17718.09121106948,315.05713,13.138601,44026.837475294866,150.01044,4539.4766,4.4499,-1.0002,0.6438,2.1380746,0.27251863,0.048922747,1.0,,,7.8051863,17,0.1341966431077537
ZTFJ192233.97+220932.4,421744,290.64155,22.15901,5.543109,0.607,6.209,58430.1015433,16.262,15.07,5.543147,5.543109,161,175,0.733,0.607,6.128,6.209,0.779,0.861,0.811,0.706,-2.497,-7.451,EA,0.661,0.522,871695854,2019086464011379072,290.64155453358876,0.013756668,22.158980374245644,0.017638013,0.32904591079511475,0.02508699,-1.4608567577438034,0.021762192,-4.861045060563254,0.025020216,15.900995,9.165015,15.009294,18673.654677248054,35.47985,15.837581,6315.161848765622,124.35001,14.093796,18265.853897167304,31.48156,7720.624,3.668,-0.0464,2.7449,0.9767411,0.0,0.035131242,1.0,,,3.5379632,13,0.10771851816462497
ZTFJ192235.13+060456.8,421808,290.64641,6.08246,0.6159242,0.623,6.447,58377.1725528,15.148,14.287,0.6159242,0.615906,125,133,0.563,0.623,6.316,6.447,0.87,0.94,0.204,0.216,-11.717,-14.376,EA,0.0,0.003,1428181556,4293826110339551488,290.646418799626,0.026295386,6.082427689761133,0.025440587,0.6240994137493975,0.032566916,2.211459990233722,0.03327609,-2.8824017321213784,0.029424135,-9.833979,6.4482627,14.344296,34453.09558631872,141.65266,14.938604,14453.573151575847,427.6967,13.599846,28788.5655373526,182.46881,5880.0244,3.7177,-0.061,0.9635,1.6760863,0.20046265,0.046088357,1.0,,,4.262026,10,0.12050677117401161
ZTFJ192235.40+251546.5,421828,290.64752,25.26293,1.9919657,0.341,5.912,58263.4218769,14.763,14.051,1.9919657,0.9965913,173,179,0.577,0.341,6.439,5.912,0.954,0.98,0.351,0.346,-39.037,-43.06,EA,0.058,0.042,1738927348,2023192040441496960,290.64753392710656,0.008034719,25.26289798099528,0.011405365,0.3865856114175873,0.014764731,-2.3685311562607914,0.0100520635,-3.8538067074683333,0.014451704,17.42091,10.60188,14.032394,45918.617216683204,65.88117,14.529027,21076.871454444496,176.39883,13.3699045,35579.21902412721,120.554214,6249.332,3.6053,-0.016,0.9832,1.0410817,0.0,0.020191746,1.0,,,9.363824,27,0.12386580975844144
ZTFJ192242.78-052216.4,422293,290.67829,-5.37124,0.731794,0.437,6.315,58304.3639396,15.13,14.497,0.7317478,0.731794,49,59,0.471,0.437,6.497,6.315,0.904,0.987,0.269,0.432,-1.054,-3.18,EA,0.0,0.317,1581314174,4211519693519542144,290.67828819762053,0.019950647,-5.371243025668473,0.018043045,0.6660035128678297,0.022743344,-0.2487194690140359,0.028106365,-10.852146935074904,0.022193896,47.581768,7.586101,14.48444,30281.033570436855,60.021534,14.955812,14226.293678232476,195.89078,13.831451,23258.28335899401,125.15772,6828.44,4.0486,-0.603,1.2112,1.02003,0.0,0.03942611,1.0,,,4.165303,11,0.012664007751360415
